# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	19937
#@/user_id	79fb09ba-e482-4a0b-8f97-bc33c2a34fd8
a 	啊	c=75 d=0.51629 t=19937
a 	阿	c=21 d=0.570868 t=19937
a a 	啊啊	c=0 d=0.1 t=19386
a li 	阿里	c=0 d=9.59451e-15 t=19937
a li xiao hao 	阿里小號	c=2 d=1.1822e-19 t=19937
a li yun 	阿里雲	c=2 d=2.62733e-07 t=19937
a li yun pan 	阿里雲盤	c=1 d=1 t=17257
a man 	阿曼	c=0 d=0.1 t=16904
a shi da da 	啊溼答答	c=1 d=1.19844e-12 t=19937
ai 	哎	c=4 d=8.67557e-06 t=19937
ai 	愛	c=1 d=0.193013 t=19937
ai 	艾	c=2 d=1 t=18689
ai chou 	哀愁	c=0 d=0.0198891 t=19937
ai de 	愛的	c=2 d=0.371557 t=19937
ai er 	埃爾	c=1 d=1 t=14238
ai kan 	愛看	c=0 d=3.04584e-16 t=19937
ai shi 	愛是	c=0 d=1.37066e-13 t=19937
ai shi da shi dai 	愛是大時代	c=1 d=1.20445e-12 t=19937
ai wo 	愛我	c=1 d=2.3473e-09 t=19937
ai xin 	愛心	c=0 d=0.1 t=17142
ai xin nuo si bi lei 	愛心諾斯壁壘	c=1 d=1 t=17143
an 	安	c=1 d=0.0288686 t=19937
an 	按	c=3 d=0.00668703 t=19937
an 	暗	c=3 d=0.000594424 t=19937
an bao 	安保	c=1 d=1 t=12491
an bie niu 	按彆扭	c=1 d=1 t=19397
an bu dong 	按不動	c=1 d=1.52326e-10 t=19937
an de sen 	安德森	c=0 d=4.31329e-21 t=19937
an de sen fang 	安德森放	c=1 d=4.33491e-20 t=19937
an jian 	按鍵	c=2 d=1.3588 t=13075
an jing 	安靜	c=3 d=2.70431 t=17025
an ni 	按你	c=1 d=1.57045e-16 t=19937
an niu 	按鈕	c=24 d=2.23639 t=19937
an pai 	安排	c=1 d=6.61877e-16 t=19937
an pai de 	安排的	c=1 d=6.24238e-16 t=19937
an quan 	安全	c=1 d=9.24374e-18 t=19937
an quan gan 	安全感	c=1 d=4.86074e-14 t=19937
an quan zhong xin de 	安全中心的	c=1 d=1 t=12554
an xin 	安心	c=2 d=1.46657e-06 t=19937
an xin 	安鑫	c=1 d=1 t=11115
an yi 	安逸	c=1 d=1 t=17845
an yi an 	按一按	c=1 d=1 t=12837
an zhao 	按照	c=6 d=0.239309 t=19937
an zhuang 	安裝	c=3 d=7.89201e-10 t=19937
ang 	昂	c=0 d=0.1 t=18501
ang si 	盎司	c=1 d=1 t=14221
ao 	熬	c=1 d=1 t=17019
ba 	吧	c=66 d=0.606505 t=19937
ba 	把	c=22 d=0.000240454 t=19937
ba 	爸	c=4 d=1 t=19859
ba li 	巴黎	c=1 d=1 t=13934
ba ni 	把你	c=3 d=3.03817e-07 t=19937
ba shi da fu 	吧士大夫	c=1 d=4.03073e-17 t=19937
ba wang bie ji 	霸王別姬	c=2 d=1.45493e-13 t=19937
ba wo 	把我	c=1 d=1.42124e-18 t=19937
bai 	白	c=1 d=7.67598e-07 t=19937
bai 	百	c=0 d=1.50058e-11 t=19937
bai du 	擺渡	c=1 d=0.333279 t=19937
bai du 	百度	c=1 d=0.0612608 t=19937
bai du ren 	擺渡人	c=1 d=0.307279 t=19937
bai du ren 	百度人	c=1 d=0.299692 t=19937
bai du wang pan 	百度網盤	c=2 d=0.000665393 t=19937
bai du yun 	百度雲	c=5 d=2.59985e-19 t=19937
bai ge 	白鴿	c=1 d=0.20089 t=19937
bai huo 	百貨	c=10 d=1.99981 t=19266
bai lan 	白蘭	c=0 d=1.74491e-21 t=19937
bai lan ge xun you ji 	白蘭鴿巡遊記	c=1 d=1.75365e-20 t=19937
bai mo 	白魔	c=1 d=1.75186e-08 t=19937
bai piao 	白嫖	c=1 d=0.0505395 t=19937
bai shi 	拜師	c=1 d=0.00782838 t=19937
bai tian 	白天	c=2 d=1.60245e-18 t=19937
ban 	半	c=1 d=1 t=13994
ban 	板	c=1 d=9.80753e-11 t=19937
ban 	版	c=4 d=0.000656341 t=19937
ban 	班	c=2 d=1.2292e-16 t=19937
ban 	般	c=0 d=1.92809e-19 t=19937
ban ben 	版本	c=9 d=0.0207332 t=19937
ban ben ne 	版本呢	c=1 d=1 t=17345
ban chang 	伴唱	c=1 d=7.66137e-14 t=19937
ban dian 	半點	c=1 d=0.000405658 t=19937
ban fa 	辦法	c=1 d=3.43534e-19 t=19937
ban ge yue 	半個月	c=1 d=1 t=10597
ban jia 	搬家	c=1 d=1 t=16887
ban jiang 	頒獎	c=1 d=0.0224829 t=19937
ban nian 	半年	c=4 d=1.62893e-05 t=19937
ban quan 	版權	c=1 d=1 t=17260
ban tian 	半天	c=4 d=1.06e-09 t=19937
ban xiao shi 	半小時	c=2 d=1 t=18226
ban yi dian 	般一點	c=1 d=1 t=11780
ban zi dong 	半自動	c=1 d=4.08747e-05 t=19937
ban zou 	伴奏	c=4 d=0.13466 t=19937
bang ding 	綁定	c=1 d=0.000209665 t=19937
bang ge 	幫個	c=1 d=1 t=10755
bang mang 	幫忙	c=7 d=1.02189 t=13015
bang wo 	幫我	c=6 d=0.0169784 t=19937
bang zhu 	幫主	c=3 d=6.40265e-10 t=19937
bao 	包	c=5 d=0.13332 t=19937
bao 	報	c=2 d=3.86071e-10 t=19937
bao 	薄	c=1 d=9.71272e-11 t=19937
bao chi 	保持	c=3 d=1.86502 t=17120
bao cun 	保存	c=10 d=0.0159606 t=19937
bao cun de 	保存的	c=1 d=1 t=17920
bao cuo 	報錯	c=8 d=0.00010775 t=19937
bao cuo le 	報錯了	c=1 d=1 t=12258
bao dao 	報道	c=1 d=6.45923e-06 t=19937
bao fa 	爆發	c=1 d=2.449e-08 t=19937
bao fang 	暴防	c=1 d=1 t=17316
bao fu 	報復	c=1 d=1 t=13702
bao gao 	報告	c=31 d=9.90735 t=19680
bao guo 	包裹	c=1 d=1 t=9339
bao han 	包含	c=2 d=1.07769 t=18918
bao huo 	寶貨	c=1 d=1 t=14054
bao jia 	保價	c=1 d=1.63315e-06 t=19937
bao jian 	寶劍	c=0 d=8.64259e-21 t=19937
bao ke meng 	寶可夢	c=2 d=1.15567 t=16781
bao kuo 	包括	c=4 d=1.06966 t=19141
bao nian 	包年	c=1 d=6.33888e-20 t=19937
bao se 	包色	c=1 d=1 t=13919
bao shen 	報審	c=1 d=1 t=11209
bao shi 	寶石	c=1 d=7.14707e-20 t=19937
bao wen 	保溫	c=2 d=1 t=14129
bao wen bei 	保溫杯	c=4 d=2.08881 t=14413
bao xiao 	報銷	c=2 d=1.59953e-16 t=19937
bao xiao le 	報銷了	c=1 d=7.23512e-17 t=19937
bao xue 	暴雪	c=2 d=1.99501 t=18818
bao zhang 	報賬	c=0 d=0.1 t=12096
bao zhang ping tai 	報賬平臺	c=1 d=1 t=12097
bao zheng 	保證	c=3 d=4.28086e-13 t=19937
bao zi 	包子	c=0 d=2.46044e-05 t=19937
bei 	背	c=2 d=1.17033 t=17283
bei 	被	c=14 d=0.0010798 t=19937
bei a 	被啊	c=1 d=1 t=15766
bei an 	備案	c=3 d=1.98517 t=17724
bei bao 	背包	c=3 d=2.97025 t=14128
bei da huang 	北大荒	c=2 d=2.2385e-14 t=19937
bei ding yi wei 	被定義爲	c=1 d=1 t=19032
bei fen 	備份	c=4 d=1 t=19937
bei feng 	被封	c=2 d=0.0447467 t=19937
bei gai 	杯蓋	c=1 d=1 t=14111
bei hua fen 	被劃分	c=1 d=6.35312e-17 t=19937
bei ji 	北極	c=1 d=1 t=16420
bei jiao 	被叫	c=1 d=1 t=12394
bei jin ji de you xi 	被禁忌的遊戲	c=1 d=1.64727e-19 t=19937
bei jing 	北京	c=8 d=0.00555117 t=19937
bei jing 	背景	c=1 d=3.7498e-20 t=19937
bei jing tu 	北京圖	c=1 d=1 t=10990
bei jing yi dong 	北京移動	c=1 d=1.17228e-17 t=19937
bei jing yin 	背景音	c=1 d=5.16395e-20 t=19937
bei ren 	被人	c=2 d=1.00011 t=11534
bei ru 	被褥	c=1 d=1 t=16393
bei wo 	被我	c=2 d=1.6055e-11 t=19937
bei yong 	備用	c=1 d=0.00373503 t=19937
bei zhu 	備註	c=1 d=2.01129e-15 t=19937
bei zi 	杯子	c=6 d=2.27327 t=14473
bei zi 	被子	c=1 d=1 t=12214
ben 	奔	c=1 d=1 t=10286
ben 	本	c=2 d=7.15582e-05 t=19937
ben 	笨	c=2 d=7.12013e-05 t=19937
ben di 	本地	c=17 d=6.16056e-05 t=19937
ben lai 	本來	c=1 d=0.00114769 t=19937
ben ming 	本名	c=0 d=0.1 t=17339
ben ren 	本人	c=1 d=1.20486e-16 t=19937
beng bu 	蚌埠	c=1 d=1 t=14164
beng zhe 	繃着	c=1 d=2.41295e-10 t=19937
bi 	比	c=13 d=0.0180061 t=19937
